Wall time,Step,Value
1757245187.3771253,1631,0.8745490908622742
1757246419.2240357,3263,0.627601146697998
1757247718.0896554,4895,0.7818726301193237
1757248920.2037187,6527,0.6170126795768738
1757250037.4796555,8159,0.5651041269302368
1757251138.6951027,9791,0.42237815260887146
1757252252.77979,11423,0.22314424812793732
1757253350.289986,13055,0.44083064794540405
1757254479.7368612,14687,0.5251128077507019
1757255587.280822,16319,0.37261077761650085
1757256689.3060317,17951,0.36488181352615356
1757257813.5303202,19583,0.36560988426208496
1757258910.5673962,21215,0.320074200630188
1757260023.3172898,22847,0.265057235956192
1757261146.572264,24479,0.2893066704273224
1757262230.0946445,26111,0.3056774139404297
1757263367.3938482,27743,0.26140129566192627
1757264500.4978573,29375,0.22721658647060394
1757265689.7928283,31007,0.21756353974342346
1757266842.5062146,32639,0.20887491106987
1757268003.9989452,34271,0.21022972464561462
1757269244.5383315,35903,0.22686640918254852
1757270540.4563153,37535,0.2696554660797119
1757271782.2076507,39167,0.2856501638889313
1757272985.6650312,40799,0.2830262780189514
1757274147.273955,42431,0.28114551305770874
1757275375.6365714,44063,0.28224244713783264
1757276502.3899825,45695,0.2815393805503845
1757278013.0210958,47327,0.28176745772361755
1757279388.3116658,48959,0.28178101778030396
