Wall time,Step,Value
1757077995.6360419,79,2.43056583404541
1757078056.6960278,159,2.244462728500366
1757078117.845271,239,2.1785125732421875
1757078179.3320122,319,2.109776258468628
1757078241.6731138,399,2.070530414581299
1757078304.1408277,479,2.0633466243743896
1757078365.4714735,559,1.9942411184310913
1757078441.1677835,639,1.97090744972229
1757078523.673856,719,1.9460043907165527
1757078604.1791492,799,1.9269475936889648
1757078686.0667708,879,1.8891873359680176
1757078768.4990513,959,1.864079236984253
1757078851.2547061,1039,1.8388221263885498
1757078934.0354655,1119,1.8195909261703491
1757079022.9043574,1199,1.7925255298614502
1757079115.959157,1279,1.7652415037155151
1757079213.432953,1359,1.7397562265396118
1757079306.971939,1439,1.7226747274398804
1757079397.9434862,1519,1.6937423944473267
1757079482.4448469,1599,1.6675795316696167
1757079557.3020935,1679,1.631213665008545
1757079632.7424357,1759,1.6168969869613647
1757079703.8269966,1839,1.594198226928711
1757079778.3417993,1919,1.5704342126846313
1757079846.1917546,1999,1.5480120182037354
1757079915.6014867,2079,1.535551905632019
1757079979.5392213,2159,1.5101697444915771
1757080041.553898,2239,1.4843260049819946
1757080097.5650935,2319,1.483066201210022
1757080155.9834948,2399,1.4511854648590088
1757080213.4314597,2479,1.423125982284546
1757080269.790003,2559,1.4047553539276123
1757080327.126167,2639,1.3823133707046509
1757080385.626779,2719,1.380839467048645
1757080446.9928253,2799,1.3475141525268555
1757080516.0581589,2879,1.335496425628662
1757080586.24203,2959,1.3034253120422363
1757080657.554809,3039,1.285048246383667
1757080728.7707303,3119,1.2831957340240479
1757080799.6400802,3199,1.2679654359817505
1757080872.6870666,3279,1.2506918907165527
1757080943.5906446,3359,1.218965768814087
1757081016.1991014,3439,1.213468074798584
1757081086.7963855,3519,1.2009023427963257
1757081158.9985824,3599,1.183321475982666
1757081230.7741098,3679,1.1762464046478271
1757081302.5322328,3759,1.1626460552215576
1757081374.2350159,3839,1.153723120689392
1757081444.7464364,3919,1.137149453163147
1757083800.721021,3999,1.1297379732131958
1757083851.6059906,4079,1.1166867017745972
1757083901.8597867,4159,1.111159324645996
1757083970.703761,4239,1.1016654968261719
1757084039.3277588,4319,1.0917357206344604
1757084107.5055854,4399,1.0874196290969849
1757084178.1637673,4479,1.07669997215271
1757084247.2089953,4559,1.0743625164031982
1757084312.2567508,4639,1.062801480293274
1757084376.5051897,4719,1.056850552558899
1757084444.2914,4799,1.0483571290969849
1757084510.7152398,4879,1.0419174432754517
1757084577.1098204,4959,1.034253716468811
1757084644.167885,5039,1.0290030241012573
1757084707.7833955,5119,1.026986837387085
1757084772.2460515,5199,1.0242139101028442
1757084844.1768615,5279,1.0233020782470703
1757084913.79754,5359,1.01419198513031
1757084966.624064,5439,1.0118464231491089
1757085023.5637457,5519,1.0151493549346924
1757085074.0630744,5599,1.0082892179489136
1757085124.477151,5679,1.002273678779602
1757085175.388854,5759,1.002081274986267
1757085223.6994946,5839,0.9962053894996643
1757085275.091279,5919,0.9990612268447876
1757085325.9782104,5999,0.9977843165397644
1757085376.8552954,6079,0.9986568689346313
1757085435.164866,6159,0.9937558174133301
