Wall time,Step,Value
1757322220.307862,49,2.388977527618408
1757322348.38491,99,2.017833948135376
1757322439.8081748,149,1.9966580867767334
1757322575.6892562,199,1.8232640027999878
1757322726.3082094,249,1.8345611095428467
1757322822.7221296,299,1.8739222288131714
1757322914.5221028,349,1.9359278678894043
1757323014.6746845,399,1.7068840265274048
1757323169.309763,449,1.6751959323883057
1757323250.7224095,499,1.6432920694351196
1757323328.6224484,549,1.7176513671875
1757323408.7396555,599,1.6519052982330322
1757323512.0220537,649,1.5666671991348267
1757323591.0240521,699,1.566659688949585
1757323669.9851716,749,1.7612457275390625
1757323754.2777994,799,1.6256358623504639
1757323869.9226532,849,1.5647844076156616
1757323969.9332647,899,1.6632819175720215
1757324082.8220992,949,1.7217141389846802
1757324237.3034751,999,1.6980888843536377
1757324410.869929,1049,1.5605981349945068
1757324597.0221417,1099,1.6762776374816895
1757324796.0379076,1149,1.577271580696106
1757324951.2850254,1199,1.344093918800354
1757325131.121962,1249,1.648247241973877
1757325297.498331,1299,1.467215657234192
1757325485.6054928,1349,1.3639190196990967
1757325694.1641016,1399,1.1791977882385254
1757325910.5075853,1449,1.5086016654968262
1757326096.526434,1499,1.4584825038909912
1757326287.7412846,1549,1.3229049444198608
1757326470.493176,1599,1.3333947658538818
1757326711.2221072,1649,1.3525166511535645
1757326839.6223345,1699,1.4896776676177979
1757326986.0222256,1749,1.2852611541748047
1757327143.6632903,1799,1.3607678413391113
1757327310.4642513,1849,1.3794901371002197
1757327479.5206187,1899,1.5710550546646118
1757327601.2236688,1949,1.2692208290100098
1757327754.981777,1999,1.3409606218338013
1757327963.7222056,2049,1.2903348207473755
1757328123.943935,2099,1.5111032724380493
1757328290.2832084,2149,1.2041757106781006
1757328428.9349904,2199,1.4008769989013672
1757328537.4335818,2249,1.15696382522583
1757328624.8220203,2299,1.1758835315704346
1757328707.3222077,2349,1.3126291036605835
1757328782.7893527,2399,1.0115816593170166
1757328888.022111,2449,1.2049765586853027
1757328975.3222792,2499,1.389541745185852
1757329075.3767855,2549,1.2238965034484863
1757329204.7484882,2599,1.131661057472229
1757329339.9221923,2649,1.272601842880249
1757329430.707935,2699,1.2614941596984863
1757329583.803419,2749,1.2137587070465088
